#,id,address,microdistrict_id,house,building_body,phone,email,photo,photo_url,linestring,marker,multipolygon,description,created_at,updated_at,is_deleted,is_disabled,category_id,district_id,street_id,sub_category_id,work_hours,name_kz,name_ru,form_of_ownership_category_id,form_of_ownership_sub_category_id,latitude,longitude
1,671941,"ул.Макатаева, 127/1",,,,7010 (единая справочная - пн-вс 10:00-22:00),,,,,0101000020E61000007842AF3F893B53403E26529ACDA14540,,,2024-03-26 07:05:48.797546 +00:00,2024-06-13 09:34:16.403538 +00:00,,,2,6,,8,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,MEGA Park,MEGA Park,,,43.264087,76.930252
2,671957,"ул.Шоссейная, 94",176,,,87717804541 (единый номер - вт-вс 9:00-19:00),,,,,0101000020E61000001618B2BAD5385340D1B01875ADA34540,,,2024-03-26 07:05:48.797546 +00:00,2024-06-13 09:34:16.403538 +00:00,,,2,1,,8,Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00; Сб: 09:00-19:00; Вс: 09:00-19:00,Адем,Адем,,,43.278731,76.888045
3,671959,"ул.Кабдолова, 1/4",,,,87272301010 (единая справочная: пн-вс 9:00-21:00),,,,,0101000020E61000006D91B41B7D365340F2EEC8586D9E4540,,,2024-03-26 07:05:48.797546 +00:00,2024-06-13 09:34:16.403538 +00:00,,,2,3,,8,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,Grand Park,Grand Park,,,43.237712,76.851386
4,671952,"ул.Щепкина, 35 А",,,,87017881526,,,,,0101000020E61000001213D4F02D38534014CC9882359A4540,,,2024-03-26 07:05:48.797546 +00:00,2024-06-13 09:34:16.403538 +00:00,,,2,4,,8,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,Qaratau,Qaratau,,,43.204758,76.877804
5,671956,"ул.Москвина, 7 А",,,,87717804541 (единый номер - вт-вс 9:00-19:00),,,,,0101000020E61000005B423EE8D9385340CE88D2DEE0A34540,,,2024-03-26 07:05:48.797546 +00:00,2024-06-13 09:34:16.403538 +00:00,,,2,5,,8,Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00; Сб: 09:00-19:00; Вс: 09:00-19:00,Адем,Адем,,,43.2803,76.8883
6,671969,"ул.Байшешек, 21",,,,87273158877 (единая справочная - пн-вс 9:00-18:00),,,,,0101000020E610000002D369DD063B53408B338639419B4540,,,2024-03-26 07:05:48.797546 +00:00,2024-06-13 09:34:16.403538 +00:00,,,2,4,,8,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00 (администрация: пн-вс 9:00-18:00),Villa Boutiques & Restaurants,Villa Boutiques & Restaurants,,,43.212928,76.922294
7,671943,"пр.Райымбека, 239 Г",,,,87272273306,,,,,0101000020E610000005508C2C993953407DAD4B8DD0A14540,,,2024-03-26 07:05:48.797546 +00:00,2024-06-13 09:34:16.403538 +00:00,,,2,5,,8,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,MAXIMA,MAXIMA,,,43.264177,76.899974
8,671948,"пр.Рыскулова, 143 В",,,,87001777111,,,,,0101000020E6100000282CF180B235534085D0419770A04540,,,2024-03-26 07:05:48.797546 +00:00,2024-06-13 09:34:16.403538 +00:00,,,2,1,,8,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,Domillion,Domillion,,,43.253436,76.83902
9,671970,"ул.Тимирязева, 42/30",,,,87272748574 (отдел аренды),,,,,0101000020E610000083DA6FED443A53400055DCB8C59C4540,,,2024-03-26 07:05:48.797546 +00:00,2024-06-13 09:34:16.403538 +00:00,,,2,4,,8,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,Галерея,Галерея,,,43.224784,76.910457
10,671946,"пл.Республики, 2",,,,87273342306,,,,,0101000020E6100000132C0E677E3C5340C85BAE7E6C9E4540,,,2024-03-26 07:05:48.797546 +00:00,2024-06-13 09:34:16.403538 +00:00,,,2,4,,8,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,Алмалы,Алмалы,,,43.237686,76.945215
11,671931,"мкр.8, 37/2",17,,,87471341404,e.aitbayev@trcmoskva.kz,,,,0101000020E6100000BF2CEDD45C37534095D74AE82E9D4540,,,2024-03-26 07:05:48.797546 +00:00,2024-06-13 09:34:16.403538 +00:00,,,2,3,,8,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,MOSKVA Metropolitan,MOSKVA Metropolitan,,,43.227994,76.865041
12,671944,"пр.Достык, 89/2",,,,87272221387,,,,,0101000020E6100000B94F8E02443D5340C5E40D30F39D4540,,,2024-03-26 07:05:48.797546 +00:00,2024-06-13 09:34:16.403538 +00:00,,,2,6,,8,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,Dostyk Plaza,Dostyk Plaza,,,43.233984,76.957276
13,671945,"мкр.Самал-3, 1",145,,,,,,,,0101000020E6100000BF49D3A0683D5340950B957F2D9D4540,,,2024-03-26 07:05:48.797546 +00:00,2024-06-13 09:34:16.403538 +00:00,,,2,6,,8,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00 (администрация: пн-пт 10:00-19:00),Ритц-Палас,Ритц-Палас,,,43.227951,76.959511
14,671938,"ул.Абиша Кекилбайулы, 264",,,,7010 (единая справочная: пн-вс 10:00-22:00),,,,,0101000020E6100000D061BEBC00395340A5129ED0EB994540,,,2024-03-26 07:05:48.797546 +00:00,2024-06-13 09:34:16.403538 +00:00,,,2,4,,8,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,Mega Center Alma-Ata,Mega Center Alma-Ata,,,43.202509,76.89067
15,671955,"пр.Абылай хана, 7",,,,87272736259,,,,,0101000020E6100000E77283A10E3C53409259BDC3EDA24540,,,2024-03-26 07:05:48.797546 +00:00,2024-06-13 09:34:16.403538 +00:00,,,2,5,,8,"Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00 (администрация: пн-пт 9:00-18:00, перерыв: 13:00-14:00)",Алтын Тараз,Алтын Тараз,,,43.272881,76.938393
16,671953,"ул.Байшешек, 27",,,,87273158877 (единая справочная - пн-вс 9:00-18:00),,,,,0101000020E6100000DB8AFD65F73A53400C1F1153229B4540,,,2024-03-26 07:05:48.797546 +00:00,2024-06-13 09:34:16.403538 +00:00,,,2,4,,8,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00 (администрация: пн-вс 9:00-18:00),Villa Boutiques & Restaurants,Villa Boutiques & Restaurants,,,43.211985,76.92135
