Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,Веб-сайт,Instagram,Facebook,ВКонтакте,WhatsApp 1,WhatsApp 2,YouTube,Широта,Долгота,2GIS URL,Тип
Alma Museum,музей,Музеи,"улица Кабанбай батыра, 85",1 этаж,050000,,Алмалинский район,Алматы,,Алматы,Казахстан,"Вт: 12:00-15:00, 16:00-18:00; Ср: 12:00-15:00, 16:00-18:00; Чт: 12:00-15:00, 16:00-18:00; Пт: 12:00-15:00, 16:00-18:00; Сб: 12:00-15:00, 16:00-18:00 (по предварительной записи)",+05:00,4.2,10,87017440447,,,,https://instagram.com/alma_museum,,,,,,43.250201,76.944504,https://2gis.com/firm/70000001053143845,branch
Дом-музей Сабита Муканова,,Музеи,"улица Тулебаева, 125",4 офис; 2 этаж,050004,,Медеуский район,Алматы,,Алматы,Казахстан,Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00,+05:00,4.1,9,87272725912,87272728286,87272614215,,,,,,,,43.251272,76.948652,https://2gis.com/firm/70000001076566440,branch
Дом-музей им. Г.Мусрепова,,Музеи,"улица Тулебаева, 130",25 офис; 3 этаж,050004,,Медеуский район,Алматы,,Алматы,Казахстан,Вт: 10:00-19:00; Ср: 10:00-19:00; Чт: 10:00-19:00; Пт: 10:00-19:00; Сб: 10:00-19:00; Вс: 10:00-19:00 (санитарный день: пн),+05:00,4.9,13,,,,,,,,,,,43.252027,76.949608,https://2gis.com/firm/9429940000797436,branch
Музей археологии,,Музеи,"улица Шевченко, 28","201, 204 кабинет; 2 этаж",050010,,Медеуский район,Алматы,,Алматы,Казахстан,"Пн: 09:00-13:00, 14:30-18:30; Вт: 09:00-13:00, 14:30-18:30; Ср: 09:00-13:00, 14:30-18:30; Чт: 09:00-13:00, 14:30-18:30; Пт: 09:00-13:00, 14:30-18:30; Сб: 10:00-13:00, 14:00-17:00 (касса: пн-пт 9:00-18:00; санитарный день: последний чт месяца)",+05:00,4.3,150,,,,"http://my.matterport.com/show/?m=iwtDFax4Xcq&sr=,.18&ss=1&fbclid=IwAR1rxUWXotBeza0JG0-qBHI5DNTRS0NZzoI1bw6-5KaE_9ItRWRpnIBflKA",https://instagram.com/archaeologymuseum,https://facebook.com/museumarchaeology,,,,,43.246609,76.953012,https://2gis.com/firm/9429940000798269,branch
Мемориальный музей им. академика К.И. Сатпаева,,Музеи,"улица Шевченко, 28",2 этаж,050010,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+05:00,,,,,,,,,,,,,43.246609,76.953012,https://2gis.com/firm/9429940001349538,branch
Центр по изучению наследия Ахмета и Газизы Жубановых,при Центральном Государственном музее РК,Музеи,"улица Карасай батыра, 61-67",78 офис; 3 этаж,050000,,Алмалинский район,Алматы,,Алматы,Казахстан,"Пн: 09:30-13:00, 14:00-17:00; Вт: 09:30-13:00, 14:00-17:00; Ср: 09:30-13:00, 14:00-17:00; Чт: 09:30-13:00, 14:00-17:00; Пт: 09:30-13:00, 14:00-17:00",+05:00,3.4,3,87272726369,,,,,,,,,,43.251373,76.941044,https://2gis.com/firm/9429940001316123,branch
Республиканский музей спортивной и олимпийской славы,,Музеи,"проспект Сейфуллина, 551",,050012,,Алмалинский район,Алматы,,Алматы,Казахстан,"Пн: 09:00-13:00, 14:00-17:00; Вт: 09:00-13:00, 14:00-17:00; Ср: 09:00-13:00, 14:00-17:00; Чт: 09:00-13:00, 14:00-17:00; Пт: 09:00-13:00, 14:00-17:00; Сб: 09:00-14:00",+05:00,4.6,7,87272675925,87272676039,,,,,,,,,43.25213,76.932858,https://2gis.com/firm/9429940001475028,branch
Музей редких книг,,Музеи,"улица Шевченко, 28",1 этаж,050010,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 10:00-17:00 (санитарный день: последний четверг месяца),+05:00,4.8,20,87272728656,87273003225,,http://www.gylymordasy.kz,https://instagram.com/rbmuseum,https://facebook.com/rbmuseum,https://vk.com/rbmuseum,,,,43.246609,76.953012,https://2gis.com/firm/9429940001349807,branch
Музей Казахского кино имени Ш. Айманова,,Музеи,"проспект Аль-Фараби, 176",,050023,Казахфильм м-н,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+05:00,3.0,20,87273021677,87273021234 (канцелярия),87273021166,,,,,,,,43.19736,76.901658,https://2gis.com/firm/70000001039200072,branch
Мультимедийный центр традиционной музыки,,Музеи,"микрорайон Нуркент, 5/11",3 этаж,050038,Нуркент м-н,Алатауский район,Алматы,,Алматы,Казахстан,"Вт: 10:00-13:00, 14:00-19:00; Ср: 10:00-13:00, 14:00-19:00; Чт: 10:00-13:00, 14:00-19:00; Пт: 10:00-13:00, 14:00-19:00; Сб: 10:00-13:00, 14:00-19:00; Вс: 10:00-13:00, 14:00-19:00",+05:00,4.6,17,87471024267,87086315373,,,https://instagram.com/museum_multimediya,,,,,,43.261071,76.817406,https://2gis.com/firm/70000001029767304,branch
Анаға құрмет,музей,Музеи,"Верхняя Каскеленская трасса, 26",,,,,Алматы,Карасайский район,Алматы,Казахстан,"Пн: 09:00-13:00, 14:00-18:00; Ср: 09:00-13:00, 14:00-18:00; Чт: 09:00-13:00, 14:00-18:00; Пт: 09:00-13:00, 14:00-18:00; Сб: 09:00-13:00, 14:00-18:00",+05:00,4.6,9,,,,,https://instagram.com/anagakurmet,,,,,,43.173398,76.711514,https://2gis.com/firm/70000001061105156,branch
Туздыбастау историко-краеведческий и этнологический музей,,Музеи,"улица Жылкыбай, 146",1 этаж,041626,,,,Талгарский район,Алматинская область,Казахстан,Вт: 09:00-17:00; Ср: 09:00-17:00; Пт: 09:00-13:00,+05:00,,,,,,,,,,,,,43.315668,77.0565,https://2gis.com/firm/70000001056477834,branch
Иссык,Государственный историко-культурный заповедник-музей министерства культуры и спорта РК,Музеи,"улица Алматинская, 1 музей",,,,,,Енбекшиказахский район,Алматинская область,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00; Вс: 09:00-18:00,+05:00,4.0,16,87273069130,,,http://issykrm.kz,https://instagram.com/issykmuseum,https://facebook.com/issykreservemuseum,,,,https://youtube.com/channel/UCID2jFM8o0vzoOfmam5i3Zg,43.391101,77.395905,https://2gis.com/firm/70000001047297935,branch
Алтын адам,музей,Музеи,"улица Алматинская, 1 музей",,,,,,Енбекшиказахский район,Алматинская область,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00; Вс: 09:00-18:00,+05:00,4.6,16,,,,,,https://facebook.com/issykreservemuseum,,,,,43.391124,77.395749,https://2gis.com/firm/70000001043443498,branch
Историко-культурный центр Атамекен Первого Президента Республики Казахстан,,Музеи,"улица Жибек жолы, 158/А",,,,,,Карасайский район,Алматинская область,Казахстан,"Пн: 09:00-13:00, 14:00-18:00; Вт: 09:00-13:00, 14:00-18:00; Ср: 09:00-13:00, 14:00-18:00; Чт: 09:00-13:00, 14:00-18:00; Пт: 09:00-13:00, 14:00-18:00; Сб: 09:00-13:00, 14:00-15:00; Вс: 09:00-13:00, 14:00-15:00",+05:00,3.2,4,87277156648,,,,https://instagram.com/atameken_ortalygy,https://facebook.com/AygerimAvezova,,,,,43.18564,76.51992,https://2gis.com/firm/70000001062588664,branch
Историко-краеведческий музей Карасайского района,,Музеи,"улица Карасай батыра, 35",,,,,Каскелен,Карасайский район,Алматинская область,Казахстан,"Пн: 09:00-13:00, 14:00-18:00; Вт: 09:00-13:00, 14:00-18:00; Ср: 09:00-13:00, 14:00-18:00; Чт: 09:00-13:00, 14:00-18:00; Пт: 09:00-13:00, 14:00-18:00",+05:00,5.0,3,87277122596,,,,https://instagram.com/karasay_olketanu_muzei,,,,,,43.200891,76.619199,https://2gis.com/firm/70000001044132084,branch
Батыр бабалар музейі,музей,Музеи,"Верхняя Каскеленская трасса, 29",,,,,Алматы,Карасайский район,Алматы,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 10:00-13:00; Вс: 10:00-13:00,+05:00,3.7,3,87077547778,,,,https://instagram.com/batyr_babalar_museum,,,,,,43.172993,76.710328,https://2gis.com/firm/70000001036237863,branch
Музей памяти жертв политических репрессий,,Музеи,"улица Айша Биби, 1/10",,,,,,Талгарский район,Алматинская область,Казахстан,Пн: 09:00-17:00; Вт: 09:00-17:00; Ср: 09:00-17:00; Чт: 09:00-17:00; Пт: 09:00-17:00; Сб: 09:00-17:00; Вс: 09:00-17:00,+05:00,4.5,12,,,,,https://instagram.com/muzei_qugynsurgin,,,,,,43.568764,77.055275,https://2gis.com/firm/70000001063494604,branch
Литературно-мемориальный музей им. Жамбыла Жабаева,,Музеи,"улица Жамбыл, 80",,,,,,Жамбылский район,Алматинская область,Казахстан,"Пн: 09:00-13:00, 14:00-18:00; Вт: 09:00-13:00, 14:00-18:00; Ср: 09:00-13:00, 14:00-18:00; Чт: 09:00-13:00, 14:00-18:00; Пт: 09:00-13:00, 14:00-18:00; Сб: 09:00-13:00, 14:00-18:00; Вс: 09:00-13:00, 14:00-18:00",+05:00,5.0,1,87277057775,87472624998,87477352911,,https://instagram.com/zhambyl.museum,,,https://wa.me/77472624998,https://wa.me/77477352911,,43.14744,76.183137,https://2gis.com/firm/70000001083419170,branch
Тулпар,музей ретро-автомобилей,Музеи,"улица Индустриальная, 16/5",,,,,Конаев,Конаев городская администрация,Алматинская область,Казахстан,Пн: 10:00-18:00; Вт: 10:00-18:00; Ср: 10:00-18:00; Чт: 10:00-18:00; Пт: 10:00-18:00; Сб: 10:00-18:00; Вс: 10:00-18:00,+05:00,4.4,50,87072006315 (администратор),,,,,,,,,,43.882146,77.062844,https://2gis.com/firm/70000001047499095,branch
