Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,Веб-сайт 1,Веб-сайт 2,Instagram,Facebook,ВКонтакте,WhatsApp,YouTube,Широта,Долгота,2GIS URL,Тип
Центральная городская детская библиотека им. С. И. Бегалина,,Библиотеки,"улица Толе би, 27",,050010,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00 (санитарный день: последняя пт месяца),+05:00,4.3,63,87272938413,87272913976,87272916500,http://www.spring.kz,http://www.tarih-begalinka.kz,https://instagram.com/begalinka_kitapkhanasy,https://facebook.com/officialbegalinka,https://vk.com/almaty_library,,,43.255809,76.954743,https://2gis.com/firm/9429940000794582,branch
Городская  детская  библиотека им. И.А. Крылова,,Библиотеки,"улица Ауэзова, 175",,050057,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00 (санитарный день: последний чт месяца),+05:00,4.5,54,87272747416,87272748267,,http://almatylibrary.kz,,https://instagram.com/krylov_kitaphanasy,https://facebook.com/CBS.Almaty,https://vk.com/almaty_library,,,43.228003,76.905323,https://2gis.com/firm/9429940000794548,branch
Библиотеки Алматы,детская  библиотека №33,Библиотеки,"улица Толе би, 160",1 этаж,050026,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00 (санитарный день: последний четверг месяца),+05:00,3.3,76,87273755247,,,http://almatylibrary.kz,,https://instagram.com/okj_33_kitaphanasy,https://facebook.com/CBS.Almaty,https://vk.com/almaty_library,,,43.251624,76.903662,https://2gis.com/firm/9429940000821389,branch
Алмалы кітапхана,,Библиотеки,"улица Мауленова, 46",1 этаж,050004,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00 (санитарный день: последний чт месяца),+05:00,4.5,87,87272367234,,,http://almatylibrary.kz,,https://instagram.com/almaly_kitaphanasy_,https://facebook.com/CBS.Almaty,https://vk.com/almaty_library,,,43.258281,76.934555,https://2gis.com/firm/70000001061275830,branch
Библиотеки Алматы,библиотека Казахстанских писателей,Библиотеки,"11-й микрорайон, 37",1 этаж,050006,11 м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00 (санитарный день: последний чт месяца),+05:00,3.7,86,87273036377,87273036689,,http://almatylibrary.kz,,https://instagram.com/jazyshylar_kitaphanasy,https://facebook.com/CBS.Almaty,https://vk.com/almaty_library,,,43.218456,76.874805,https://2gis.com/firm/9429940000821378,branch
Библиотеки Алматы,массовая  библиотека №14 ,Библиотеки,"улица Римского-Корсакова, 3",1 этаж,050013,Коктем-1 м-н,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00 (санитарный день: последний чт месяца),+05:00,4.7,30,87272927441,,,http://almatylibrary.kz,,https://instagram.com/okj_14_kitaphanasy,https://facebook.com/CBS.Almaty,https://vk.com/almaty_library,,,43.232926,76.927692,https://2gis.com/firm/9429940000821387,branch
Научная Библиотека Казахского Национального Женского Педагогического Университета,,Библиотеки,"улица Гоголя, 114 к1/1",,,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+05:00,3.5,5,,,,,,,,,,,43.257455,76.929126,https://2gis.com/firm/70000001029105188,branch
Библиотеки Алматы,массовая библиотека №20,Библиотеки,"улица Ади Шарипова, 66",1 этаж,050012,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00 (санитарный день: последний чт месяца),+05:00,4.1,26,87272922456,,,http://almatylibrary.kz,,https://instagram.com/okj_20_kitaphanasy,https://facebook.com/CBS.Almaty,https://vk.com/almaty_library,,,43.251298,76.922764,https://2gis.com/firm/9429940000821708,branch
Art Lane,,Библиотеки; Художественные выставки,"улица Гоголя, 15",1 этаж,050002,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 12:00-21:00; Вт: 12:00-21:00; Ср: 12:00-21:00; Чт: 12:00-21:00; Пт: 12:00-21:00,+05:00,4.6,46,,,,,,https://instagram.com/artlane_almaty,,,,,43.261314,76.960159,https://2gis.com/firm/70000001023358385,branch
Ғылым Ордасы,библиотека,Библиотеки,"улица Шевченко, 28",1 этаж,050010,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 09:00-18:30; Вт: 09:00-18:30; Ср: 09:00-18:30; Чт: 09:00-18:30; Пт: 09:00-18:30,+05:00,4.9,23,87272610229,87272724522,,http://www.library.kz,,,,,,,43.246391,76.952231,https://2gis.com/firm/9429940000802112,branch
Республиканская научно-техническая библиотека,информационно-сервисный центр,Библиотеки,"улица Толе би, 73",1 этаж,050012,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+05:00,3.4,6,87272676597,87272274780,,http://www.rntb.kz,,,,,,,43.254473,76.935462,https://2gis.com/firm/9429940000839535,branch
Библиотеки Алматы,массовая библиотека №32,Библиотеки,"проспект Достык, 42Б",1 этаж,050010,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00 (санитарный день: последний пт месяца),+05:00,4.6,39,87272914759,,,http://almatylibrary.kz,,https://instagram.com/okzh_32_kitapkhana,https://facebook.com/CBS.Almaty,https://vk.com/almaty_library,,,43.250364,76.956945,https://2gis.com/firm/9429940000821384,branch
Библиотеки Алматы,детская библиотека №39,Библиотеки,"проспект Достык, 111/4",1 этаж,050020,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00 (санитарный день: последний чт месяца),+05:00,4.6,19,87272641854,,,http://almatylibrary.kz,,https://instagram.com/okj_39_kitapkhanasy,https://facebook.com/CBS.Almaty,https://vk.com/almaty_library,,,43.221463,76.960165,https://2gis.com/firm/9429940000821385,branch
Библиотеки Алматы,,Библиотеки,"улица Гоголя, 109",,050004,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00 (санитарный день: последний чт месяца),+05:00,4.9,1,,,,http://almatylibrary.kz,,https://instagram.com/library.almaty,https://facebook.com/CBS.Almaty,https://vk.com/almaty_library,,,43.259732,76.937936,https://2gis.com/firm/70000001083400098,branch
Библиотека,при Центральной Синагоге Казахстана,Библиотеки,"проспект Райымбека, 206е",,050034,,Алмалинский район,Алматы,,Алматы,Казахстан,"Пн: 09:00-12:00, 12:30-18:00; Вт: 09:00-12:00, 12:30-18:00; Ср: 09:00-12:00, 12:30-18:00; Чт: 09:00-12:00, 12:30-18:00; Вс: 09:00-12:00, 12:30-18:00",+05:00,2.4,7,87272530101,87272507770,,http://www.chabad.kz,,,,,,,43.262983,76.900679,https://2gis.com/firm/9429940000793648,branch
Республиканская научно-техническая библиотека,центр специальных видов технической литературы и документации,Библиотеки,"улица Муканова, 233",1 этаж,050026,,Алмалинский район,Алматы,,Алматы,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+05:00,3.0,7,87273783730,87273783729,87273783563,http://www.rntb.kz,,,,,,,43.248354,76.915154,https://2gis.com/firm/9429940000839536,branch
Республиканская научно-техническая библиотека,центр патентно-информационной работы,Библиотеки,"улица Каныша Сатпаева, 53",1 этаж,050057,,Бостандыкский район,Алматы,,Алматы,Казахстан,"Пн: 09:00-13:00, 14:30-18:00; Вт: 09:00-13:00, 14:30-18:00; Ср: 09:00-13:00, 14:30-18:00; Чт: 09:00-13:00, 14:30-18:00; Пт: 09:00-13:00, 14:30-18:00",+05:00,3.4,11,87273385772,87272453162,87273750555,http://www.rntb.kz,,,,,,,43.235618,76.901602,https://2gis.com/firm/9429940000839537,branch
Массовая библиотека №27   ,,Библиотеки,"улица Абиша Кекилбайулы, 121",,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00 (санитарный день: последний чт месяца),+05:00,,,,,,http://almatylibrary.kz,,https://instagram.com/library.almaty,https://facebook.com/CBS.Almaty,https://vk.com/almaty_library,,,43.21062,76.887702,https://2gis.com/firm/70000001083424520,branch
Библиотеки Алматы,массовая библиотека №6,Библиотеки,"улица Татарская, 32",,050007,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00 (санитарный день: последний пт месяца),+05:00,5.0,8,87273992268,,,http://almatylibrary.kz,,https://instagram.com/okzh_6_kitapkhana,https://facebook.com/CBS.Almaty,https://vk.com/almaty_library,,,43.273486,76.976371,https://2gis.com/firm/9429940000821707,branch
Республиканская научно-техническая библиотека,,Библиотеки,"улица Муканова, 223Б",1 этаж,050026,,Алмалинский район,Алматы,,Алматы,Казахстан,"Пн: 09:00-13:00, 14:30-18:30; Вт: 09:00-13:00, 14:30-18:30; Ср: 09:00-13:00, 14:30-18:30; Чт: 09:00-13:00, 14:30-18:30; Пт: 09:00-13:00, 14:30-18:30",+05:00,1.9,1,87273784195,,,http://www.rntb.kz,,,,,,,43.251196,76.914631,https://2gis.com/firm/9429940000799762,branch
Алматинская областная универсальная библиотека им. С. Сейфуллина,,Библиотеки,"улица Татибекова, 27",,050019,,Медеуский район,Алматы,,Алматы,Казахстан,"Пн: 09:00-13:00, 14:00-18:00; Вт: 09:00-13:00, 14:00-18:00; Ср: 09:00-13:00, 14:00-18:00; Чт: 09:00-13:00, 14:00-18:00; Пт: 09:00-13:00, 14:00-18:00",+05:00,4.6,15,87273978170,,,,,https://instagram.com/almaty_bibl_filial,,,,,43.281046,76.971131,https://2gis.com/firm/9429940000792196,branch
Библиотеки Алматы,детская библиотека №29,Библиотеки,"микрорайон Орбита-4, 10",1 этаж,050043,Орбита-4 м-н,Бостандыкский район,Алматы,,Алматы,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00 (санитарный день: последний чт месяца),+05:00,4.4,54,87272547741,,,http://almatylibrary.kz,,https://instagram.com/okj_29_kitaphanasy,https://facebook.com/CBS.Almaty,https://vk.com/almaty_library,,,43.197663,76.880589,https://2gis.com/firm/9429940000821382,branch
Библиотеки Алматы,массовая  библиотека №26 ,Библиотеки,"проспект Сейфуллина, 102",1 этаж,050037,,Турксибский район,Алматы,,Алматы,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00 (санитарный день: последняя пт месяца),+05:00,5.0,4,87272943313,,,http://almatylibrary.kz,,https://instagram.com/okj_26_kitaphanasy,https://facebook.com/CBS.Almaty,https://vk.com/almaty_library,,,43.315321,76.9397,https://2gis.com/firm/9429940000821381,branch
Библиотеки Алматы,массовая библиотека №44,Библиотеки,"улица Центральная, 126",,050047,Томирис м-н,Алатауский район,Алматы,,Алматы,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00 (санитарный день: последний чт месяца),+05:00,4.7,12,87272268698,,,http://almatylibrary.kz,,https://instagram.com/okj_44_kitaphanasy,https://facebook.com/CBS.Almaty,https://vk.com/almaty_library,,,43.328841,76.849583,https://2gis.com/firm/70000001033530774,branch
Библиотека им. Оливье Жискар д`Эстен,Университет КИМЭП,Библиотеки,"проспект Абая, 2/2",,050010,,Медеуский район,Алматы,,Алматы,Казахстан,Пн: 08:30-20:00; Вт: 08:30-20:00; Ср: 08:30-20:00; Чт: 08:30-20:00; Пт: 08:30-20:00; Сб: 10:00-19:00,+05:00,3.7,9,87272374754,87272374762,,http://kimep.kz/current-students/ru/library,,https://instagram.com/librarykimep,,,,,43.24083,76.955868,https://2gis.com/firm/70000001029106177,branch
Библиотеки Алматы,детская библиотека №24,Библиотеки,"микрорайон Айнабулак 4, 174",,050014,Айнабулак 4 м-н,Жетысуский район,Алматы,,Алматы,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00 (санитарный день: последняя пт месяца),+05:00,4.3,14,87272326922,,,http://almatylibrary.kz,,https://instagram.com/okj_24_kitaphanasy,https://facebook.com/CBS.Almaty,https://vk.com/almaty_library,,,43.323169,76.913394,https://2gis.com/firm/9429940001008720,branch
Библиотеки Алматы,детская библиотека №1,Библиотеки,"улица Льва Толстого, 36",,050011,,Турксибский район,Алматы,,Алматы,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00 (санитарный день: последний пт месяца),+05:00,4.1,9,87272236768,,,http://almatylibrary.kz,,https://instagram.com/okzh_1_kitapkhana,https://facebook.com/CBS.Almaty,https://vk.com/almaty_library,,,43.328257,76.946682,https://2gis.com/firm/9429940000821388,branch
Библиотеки Алматы,,Библиотеки,"микрорайон Шугыла, 343/7",2 этаж,,,Наурызбайский район,Алматы,,Алматы,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00 (санитарный день: последний пт месяца),+05:00,2.0,5,87273858593,,,http://almatylibrary.kz,,https://instagram.com/library.almaty,https://facebook.com/CBS.Almaty,https://vk.com/almaty_library,,,43.205247,76.787313,https://2gis.com/firm/70000001084068113,branch
Библиотека,при Центральной Синагоге Казахстана,Библиотеки,"проспект Райымбека, 3",,050002,,Жетысуский район,Алматы,,Алматы,Казахстан,"Пн: 09:00-12:00, 12:30-17:00; Вт: 09:00-12:00, 12:30-17:00; Ср: 09:00-12:00, 12:30-17:00; Чт: 09:00-12:00, 12:30-17:00; Пт: 09:00-12:00, 13:00-17:00; Вс: 09:00-12:00, 12:30-17:00",+05:00,,,87272530101,87272507770,,http://www.chabad.kz,,,,,,,43.272357,76.965856,https://2gis.com/firm/70000001080134761,branch
Библиотека,,,"проспект Достык, 108а",1 этаж,050021,,Медеуский район,Алматы,,Алматы,Казахстан,"Пн: 09:00-13:00, 14:00-18:00; Вт: 09:00-13:00, 14:00-18:00; Ср: 09:00-13:00, 14:00-18:00; Чт: 09:00-13:00, 14:00-18:00; Пт: 09:00-13:00, 14:00-18:00",+05:00,,,87772247859,,,,,,,,https://wa.me/77074861678,,43.241221,76.957726,https://2gis.com/firm/70000001055677901,branch
Библиотеки Алматы,массовая  библиотека №15,Библиотеки,"улица Земнухова, 4",,050028,Нижняя пятилетка м-н,Турксибский район,Алматы,,Алматы,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00 (санитарный день: последний пт месяца),+05:00,,,87272907395,,,http://almatylibrary.kz,,https://instagram.com/library.almaty,https://facebook.com/CBS.Almaty,https://vk.com/almaty_library,,,43.350232,76.942142,https://2gis.com/firm/70000001083427043,branch
Библиотеки Алматы,массовая  библиотека №31 ,Библиотеки,"улица Есим хана, 127",,050017,Кемел м-н,Жетысуский район,Алматы,,Алматы,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00 (санитарный день: последний пт месяца),+05:00,5.0,2,,,,http://almatylibrary.kz,,https://instagram.com/library.almaty,https://facebook.com/CBS.Almaty,https://vk.com/almaty_library,,,43.373038,76.944345,https://2gis.com/firm/70000001024973610,branch
Массовая  библиотека №10,,Библиотеки,"улица Рихарда Зорге, 2",,050011,,Турксибский район,Алматы,,Алматы,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00 (санитарный день: последняя пт месяца),+05:00,5.0,1,,,,http://almatylibrary.kz,,https://instagram.com/library.almaty,https://facebook.com/CBS.Almaty,https://vk.com/almaty_library,,,43.339888,76.950893,https://2gis.com/firm/70000001083426682,branch
Библиотеки Алматы,детская  библиотека №30 ,Библиотеки,"улица Дунентаева, 2а",1 этаж,050049,,Турксибский район,Алматы,,Алматы,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00; Вс: 09:00-18:00 (санитарный день: последний пт месяца),+05:00,3.2,9,87272519008,,,http://almatylibrary.kz,,https://instagram.com/okj_30_kitaphanasy,https://facebook.com/CBS.Almaty,https://vk.com/almaty_library,,,43.354187,76.987777,https://2gis.com/firm/9429940000821383,branch
Боралдайская сельская библиотека070,,Библиотеки,"улица Ломоносова, 8",2 этаж,040707,,,,Илийский район,Алматинская область,Казахстан,"Пн: 10:00-13:00, 14:00-18:00; Вт: 10:00-13:00, 14:00-18:00; Ср: 10:00-13:00, 14:00-18:00; Чт: 10:00-13:00, 14:00-18:00; Пт: 10:00-13:00, 14:00-18:00",+05:00,,,,,,,,,,,,,43.355483,76.86468,https://2gis.com/firm/9429940001251164,branch
Карасайская районная библиотека,,Библиотеки,"проспект Абылай хана, 211а",,,,,Каскелен,Карасайский район,Алматинская область,Казахстан,"Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 10:00-13:00, 14:00-18:00 (санитарный день: последний день месяца)",+05:00,4.1,5,87277129571,87277122033,87277121107,,,,,,,,43.202138,76.622836,https://2gis.com/firm/70000001044309912,branch
Илийская районная библиотека акима Илийского района,,Библиотеки,"улица Титова, 24",2 этаж,040700,,,,Илийский район,Алматинская область,Казахстан,"Пн: 09:00-13:00, 14:00-18:00; Вт: 09:00-13:00, 14:00-18:00; Ср: 09:00-13:00, 14:00-18:00; Чт: 09:00-13:00, 14:00-18:00; Пт: 09:00-13:00, 14:00-18:00",+05:00,4.9,1,87275229864,,,,,https://instagram.com/ilelib,,,,,43.423718,77.020219,https://2gis.com/firm/70000001026875226,branch
Талгарская районная библиотека,,Библиотеки,"улица Рыскулова, 89а",,,,,Талгар,Талгарский район,Алматинская область,Казахстан,"Вт: 09:00-13:00, 14:00-18:00; Ср: 09:00-13:00, 14:00-18:00; Чт: 09:00-13:00, 14:00-18:00; Пт: 09:00-13:00, 14:00-18:00; Сб: 09:00-13:00, 14:00-18:00",+05:00,4.4,3,87277423849,87273881485,,,,,,,,,43.305053,77.238238,https://2gis.com/firm/70000001045343876,branch
Библиотека,,,,,,Томирис м-н,Алатауский район,Алматы,,Алматы,Казахстан,,+05:00,,,,,,,,,,,,,43.32932,76.849471,https://2gis.com/firm/70030076166753788,station
Городская библиотека г. Конаев,,Библиотеки,"1-й микрорайон, 28а",,,1-й м-н,,Конаев,Конаев городская администрация,Алматинская область,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+05:00,3.7,2,,,,,,,,,,,43.858159,77.058645,https://2gis.com/firm/70000001041105480,branch
Енбекшиказахская районная библиотека,,Библиотеки,"улица Абая, 122",,,,,Есик,Енбекшиказахский район,Алматинская область,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00,+05:00,,,,,,,,,,,,,43.352788,77.466449,https://2gis.com/firm/70000001089533603,branch
